sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.76,1,0.0,0.0,-21.44,12.88,0.06592213,0.46106594,0.10316569,0.94038661,-0.19403168,-0.08898167,0.11265655,-0.05407932,0.05138717,-0.01370978,0.04322388,-0.03031476,-0.00721837,-0.00362427,0.04562922,-0.00166678,8.616e-05,-3.096e-05,2.188e-05,0.00061828,0.00184873,-1.09e-06,-3.05e-06,2.1e-07,1.6e-07,0.00061866
1,0.76,2,20.44,20.44,-1.0,33.32,0.00308186,0.39914106,0.09411221,0.99977637,-0.153161,-0.10070402,0.1202765,-0.03000708,0.04899829,-0.01427192,0.04544844,-0.0349515,-0.00508462,-0.00034241,0.04599736,-0.00128123,-0.00039098,-2.024e-05,1.5e-06,0.00035038,0.00159323,1.5e-07,-2.16e-06,6e-08,9e-08,0.00061848
1,0.76,3,20.44,-20.44,-1.0,-7.56,0.00306775,0.52272526,0.11371587,0.9099362,-0.22788051,-0.10136962,0.09968054,-0.07405869,0.04809323,-0.0147219,0.03911155,-0.03517779,-0.0113644,-0.00065887,0.04529108,-0.00220421,-0.00036841,-6.003e-05,4.13e-06,0.0003553,0.00210742,1.2e-07,-4.62e-06,8e-08,4.1e-07,0.00061879
1,0.76,4,-20.44,-20.44,-41.88,-7.56,0.12839425,0.52238818,0.11418882,0.83363542,-0.22830598,-0.08525476,0.09234658,-0.07444285,0.05529614,-0.01107075,0.03650395,-0.02851038,-0.00901934,-0.00856092,0.04518395,-0.00204566,0.00069083,-3.605e-05,5.727e-05,0.00088317,0.00209943,-2.94e-06,-3.85e-06,5.2e-07,1.3e-07,0.00061893
1,0.76,5,-20.44,20.44,-41.88,33.32,0.12898339,0.39888025,0.09225269,0.90214229,-0.1601404,-0.07238776,0.11447427,-0.03418184,0.05183719,-0.01072907,0.04338345,-0.02396177,-0.00330556,-0.00488441,0.04588502,-0.00112766,0.00041051,-6.64e-06,2.41e-05,0.00088287,0.00158583,-1.66e-06,-1.58e-06,1.9e-07,-2e-08,0.00061859
1,0.869,1,0.0,0.0,-21.44,12.88,0.06592213,0.46106594,0.09045706,0.82240289,-0.17044962,-0.07781064,0.09852619,-0.04773357,0.04494405,-0.01198967,0.03780237,-0.02650882,-0.00631296,-0.0031697,0.03990492,-0.00145771,7.534e-05,-2.708e-05,1.913e-05,0.00054074,0.00161684,-9.5e-07,-2.67e-06,1.9e-07,1.4e-07,0.00054106
1,0.869,2,20.44,20.44,-1.0,33.32,0.00308186,0.39914106,0.08244373,0.87425345,-0.13468137,-0.08807214,0.105181,-0.02666684,0.04285262,-0.012474,0.03974459,-0.03056733,-0.00444683,-0.00029946,0.0402269,-0.00112053,-0.00034194,-1.77e-05,1.31e-06,0.00030643,0.0013934,1.3e-07,-1.89e-06,5e-08,8e-08,0.0005409
1,0.869,3,20.44,-20.44,-1.0,-7.56,0.00306775,0.52272526,0.09974713,0.79581621,-0.20007512,-0.08865406,0.0871874,-0.06521984,0.0420606,-0.01287201,0.03420926,-0.03076517,-0.00993897,-0.00057623,0.03960918,-0.00192771,-0.0003222,-5.25e-05,3.61e-06,0.00031074,0.00184309,1e-07,-4.04e-06,7e-08,3.6e-07,0.00054118
1,0.869,4,-20.44,-20.44,-41.88,-7.56,0.12839425,0.52238818,0.1001673,0.72906178,-0.2004715,-0.07454149,0.08077321,-0.06556986,0.04835531,-0.00968924,0.03192869,-0.02492732,-0.00788802,-0.00748716,0.03951546,-0.00178906,0.00060414,-3.153e-05,5.008e-05,0.00077239,0.00183611,-2.57e-06,-3.36e-06,4.6e-07,1.2e-07,0.00054129
1,0.869,5,-20.44,20.44,-41.88,33.32,0.12898339,0.39888025,0.08085245,0.78890226,-0.14080983,-0.06328875,0.10010628,-0.03033213,0.0453501,-0.00938551,0.03793851,-0.02094938,-0.00289094,-0.00427179,0.04012863,-0.00098623,0.00035901,-5.8e-06,2.108e-05,0.00077214,0.00138692,-1.45e-06,-1.38e-06,1.6e-07,-2e-08,0.000541
1,0.977,1,0.0,0.0,-21.44,12.88,0.06592213,0.46106594,0.08062567,0.73147091,-0.15215251,-0.06920205,0.08763506,-0.04277243,0.03997761,-0.01066397,0.03362368,-0.02357592,-0.00561511,-0.00281932,0.03549303,-0.00129657,6.7e-05,-2.408e-05,1.702e-05,0.00048096,0.00143812,-8.5e-07,-2.38e-06,1.7e-07,1.2e-07,0.00048125
1,0.977,2,20.44,20.44,-1.0,33.32,0.00308186,0.39914106,0.07342959,0.77752482,-0.12032072,-0.07833612,0.09354744,-0.02402437,0.03811577,-0.01108947,0.0353488,-0.02718823,-0.00395525,-0.00026636,0.03577943,-0.00099666,-0.00030414,-1.575e-05,1.17e-06,0.00027256,0.00123937,1.2e-07,-1.68e-06,4e-08,7e-08,0.0004811
1,0.977,3,20.44,-20.44,-1.0,-7.56,0.00306775,0.52272526,0.08893417,0.70785538,-0.17851939,-0.07885357,0.07755667,-0.05833512,0.03741096,-0.01144671,0.03043024,-0.02736415,-0.00884031,-0.00051254,0.03522997,-0.0017146,-0.00028659,-4.669e-05,3.21e-06,0.00027639,0.00163936,9e-08,-3.59e-06,7e-08,3.2e-07,0.00048135
1,0.977,4,-20.44,-20.44,-41.88,-7.56,0.12839425,0.52238818,0.08931272,0.64846267,-0.17888958,-0.06628724,0.07185143,-0.05865665,0.04300641,-0.00862334,0.02840173,-0.02216675,-0.00701606,-0.00665954,0.0351466,-0.00159129,0.00053733,-2.805e-05,4.455e-05,0.00068702,0.00163315,-2.29e-06,-2.99e-06,4.1e-07,1e-07,0.00048145
1,0.977,5,-20.44,20.44,-41.88,33.32,0.12898339,0.39888025,0.07203954,0.70163499,-0.1257895,-0.05627866,0.0890335,-0.02729477,0.04034782,-0.00834962,0.03374231,-0.01862862,-0.00257137,-0.0037996,0.03569201,-0.00087723,0.00031932,-5.16e-06,1.875e-05,0.00068679,0.00123361,-1.29e-06,-1.23e-06,1.5e-07,-2e-08,0.0004812
1,0.927,1,0.0,0.0,-21.44,12.88,0.06592169,0.4610662,0.08489579,0.7709348,-0.16010459,-0.07293808,0.09236176,-0.04493203,0.04213305,-0.01123933,0.03543722,-0.02484877,-0.00591799,-0.00297137,0.03740776,-0.00136651,7.062e-05,-2.538e-05,1.794e-05,0.0005069,0.00151569,-8.9e-07,-2.5e-06,1.8e-07,1.3e-07,0.00050721
1,0.927,2,20.44,20.44,-1.0,33.32,0.00308184,0.39914173,0.07734364,0.81950295,-0.1265643,-0.08256152,0.09859622,-0.02517763,0.04017154,-0.01169024,0.03725651,-0.02865475,-0.00416861,-0.00028073,0.0377096,-0.00105042,-0.00032054,-1.66e-05,1.23e-06,0.00028726,0.00130622,1.2e-07,-1.77e-06,5e-08,8e-08,0.00050705
1,0.927,3,20.44,-20.44,-1.0,-7.56,0.00306773,0.52272511,0.09363118,0.74603044,-0.18788583,-0.08310694,0.08173655,-0.06132963,0.03942888,-0.01206523,0.03207039,-0.02884017,-0.00931712,-0.00054018,0.03713052,-0.00180709,-0.00030204,-4.921e-05,3.39e-06,0.00029129,0.00172778,1e-07,-3.79e-06,7e-08,3.4e-07,0.00050732
1,0.927,4,-20.44,-20.44,-41.88,-7.56,0.12839341,0.52238803,0.09402788,0.68344304,-0.18826773,-0.06986933,0.07572371,-0.06166371,0.04532771,-0.00908608,0.02993251,-0.02336475,-0.0073945,-0.00701868,0.03704266,-0.00167712,0.00056632,-2.956e-05,4.695e-05,0.00072407,0.00172124,-2.41e-06,-3.15e-06,4.3e-07,1.1e-07,0.00050742
1,0.927,5,-20.44,20.44,-41.88,33.32,0.12898254,0.39888092,0.07586679,0.73950823,-0.1323196,-0.05932092,0.09383896,-0.02861954,0.04251901,-0.00879926,0.03556342,-0.01963579,-0.0027101,-0.00400452,0.03761747,-0.00092454,0.00033654,-5.44e-06,1.976e-05,0.00072383,0.00130015,-1.36e-06,-1.29e-06,1.5e-07,-2e-08,0.00050715
1,1.06,1,0.0,0.0,-21.44,12.88,0.06592169,0.4610662,0.07441927,0.67418177,-0.14058343,-0.06377889,0.08077317,-0.03962287,0.03684841,-0.00982877,0.03099093,-0.02172828,-0.00517545,-0.00259856,0.03271342,-0.00119505,6.175e-05,-2.22e-05,1.568e-05,0.0004433,0.00132552,-7.8e-07,-2.19e-06,1.5e-07,1.1e-07,0.00044357
1,1.06,2,20.44,20.44,-1.0,33.32,0.00308184,0.39914173,0.06774342,0.71658817,-0.11123325,-0.07220206,0.08621829,-0.02233654,0.03513135,-0.01021756,0.03257944,-0.02505928,-0.00364555,-0.0002455,0.0329774,-0.00091863,-0.00028032,-1.452e-05,1.08e-06,0.00025122,0.00114233,1.1e-07,-1.55e-06,4e-08,7e-08,0.00044343
1,1.06,3,20.44,-20.44,-1.0,-7.56,0.00306773,0.52272511,0.08210578,0.65243585,-0.1648959,-0.07267891,0.07148842,-0.05397287,0.03448151,-0.0105489,0.02804912,-0.02522138,-0.00814811,-0.0004724,0.03247095,-0.00158033,-0.00026415,-4.304e-05,2.96e-06,0.00025475,0.001511,8e-08,-3.31e-06,6e-08,3e-07,0.00044366
1,1.06,4,-20.44,-20.44,-41.88,-7.56,0.12839341,0.52238803,0.08245776,0.59768315,-0.1652483,-0.06108781,0.06622991,-0.05427569,0.03963662,-0.00795145,0.02617945,-0.02042786,-0.0064667,-0.00613807,0.03239409,-0.00146669,0.00049523,-2.585e-05,4.106e-05,0.00063322,0.00150528,-2.11e-06,-2.76e-06,3.7e-07,1e-07,0.00044376
1,1.06,5,-20.44,20.44,-41.88,33.32,0.12898254,0.39888092,0.06647831,0.64665812,-0.11628501,-0.0518632,0.08205772,-0.02535734,0.03719541,-0.00769689,0.03109871,-0.01716687,-0.00237006,-0.00350209,0.03289682,-0.00080855,0.00029431,-4.76e-06,1.728e-05,0.00063301,0.00113702,-1.19e-06,-1.13e-06,1.4e-07,-2e-08,0.00044352
1,1.192,1,0.0,0.0,-21.44,12.88,0.06592169,0.4610662,0.06631959,0.59950588,-0.12547008,-0.05671006,0.07182863,-0.03549833,0.03276939,-0.00874009,0.0275591,-0.01931998,-0.00460233,-0.00231082,0.02909021,-0.00106271,5.49e-05,-1.974e-05,1.395e-05,0.00039422,0.00117874,-6.9e-07,-1.95e-06,1.4e-07,1e-07,0.00039445
1,1.192,2,20.44,20.44,-1.0,33.32,0.00308184,0.39914173,0.0603261,0.63716171,-0.09935538,-0.06420627,0.07666504,-0.02011775,0.03124112,-0.00908135,0.02896968,-0.02228416,-0.00324184,-0.00021832,0.02932497,-0.0008169,-0.00024928,-1.291e-05,9.6e-07,0.0002234,0.00101583,1e-07,-1.38e-06,4e-08,6e-08,0.00039433
1,1.192,3,20.44,-20.44,-1.0,-7.56,0.00306773,0.52272511,0.07319254,0.58019523,-0.14710394,-0.0646302,0.06357793,-0.04826716,0.03066295,-0.00937874,0.02494515,-0.02242828,-0.00724582,-0.00042009,0.02887458,-0.00140532,-0.0002349,-3.827e-05,2.63e-06,0.00022654,0.00134368,7e-08,-2.95e-06,5e-08,2.6e-07,0.00039453
1,1.192,4,-20.44,-20.44,-41.88,-7.56,0.12839341,0.52238803,0.07350967,0.53149103,-0.14743218,-0.05431105,0.05890166,-0.04854504,0.03524432,-0.0070753,0.0232825,-0.01816146,-0.00575058,-0.00545838,0.02880622,-0.00130427,0.00044036,-2.299e-05,3.651e-05,0.00056311,0.00133859,-1.87e-06,-2.45e-06,3.3e-07,9e-08,0.00039461
1,1.192,5,-20.44,20.44,-41.88,33.32,0.12898254,0.39888092,0.05922236,0.57499777,-0.10386269,-0.04610816,0.07296504,-0.0228127,0.03308561,-0.00684591,0.02765287,-0.01526167,-0.00210761,-0.0031143,0.02925329,-0.00071902,0.00026171,-4.23e-06,1.536e-05,0.00056292,0.00101111,-1.06e-06,-1.01e-06,1.2e-07,-2e-08,0.0003944
1,1.131,1,0.0,0.0,-21.44,12.88,0.06592123,0.46106647,0.06982867,0.6318488,-0.13201941,-0.05977167,0.0757026,-0.03728679,0.03453605,-0.00921161,0.02904546,-0.02036305,-0.00485057,-0.00243543,0.03065946,-0.00112003,5.787e-05,-2.08e-05,1.47e-05,0.00041547,0.00124231,-7.3e-07,-2.05e-06,1.4e-07,1.1e-07,0.00041572
1,1.131,2,20.44,20.44,-1.0,33.32,0.00308182,0.39914244,0.06353922,0.67156163,-0.10450352,-0.06766934,0.08080261,-0.02108088,0.03292602,-0.00957343,0.03053309,-0.0234861,-0.00341671,-0.00023009,0.03090687,-0.00086096,-0.00026273,-1.36e-05,1.01e-06,0.00023545,0.00107062,1e-07,-1.45e-06,4e-08,6e-08,0.0004156
